Imatpoints,,Imatbarlength,Imaterrlow,Imaterrhigh,Dasatpoints,,Dasatbarlength,Dasaterrlow,Dasaterrhigh,Imatbar,,Dasatbar,
0.256668256,43.63042173,51.73268844,19.02938751,32.70330093,0.733660036,39.11326151,62.89173936,19.05010871,43.84163065,0.241376111,76.33372266,0.698672417,82.95489216
2.77987219,3.854823204,13.52186184,2.814865885,10.70699596,3.257711546,1.111670173,6.535908191,0.928270673,5.607637517,0.296427833,24.60103422,0.777946897,20.0631528
4.767851047,0.834918766,4.464319534,0.692757587,3.771561946,5.265898514,0.297222834,1.886332664,0.250295968,1.636036696,2.81045648,14.56181916,3.261880602,6.71930769
6.786414194,0.960477149,4.884493232,0.777922936,4.106570296,7.237238015,0.29651111,3.243475162,0.270470587,2.973004575,2.81045648,1.039957319,3.261880602,0.1833995
8.774393051,0.424298582,2.679215147,0.359574938,2.319640208,9.245424983,0.211523298,1.240819293,0.176283065,1.064536228,4.773967905,4.606480712,5.243742601,1.93325953
10.80824834,0.257863596,1.625118862,0.217610142,1.40750872,11.23518822,0.121000649,0.79674572,0.102558575,0.694187145,4.792318479,0.142161179,5.243742601,0.046926866
12.78093506,0.201473755,1.325312251,0.171524148,1.153788103,13.24337518,0.11214017,0.857744386,0.097418914,0.760325472,6.792531052,5.067047445,7.2256046,3.269515685
14.7994982,0.186519326,1.238656347,0.158527982,1.080128365,15.23313842,0.112787777,0.866119681,0.09827275,0.767846931,6.792531052,0.182554213,7.252029427,0.026040523
16.78747706,0.157026413,0.917342455,0.131908273,0.785434183,17.24132539,0.080459861,0.524029762,0.067732609,0.456297152,8.792743625,2.74393879,9.260316252,1.276059526
18.77545592,0.121031102,0.734912536,0.101406914,0.633505623,19.24951236,0.078318316,0.761563192,0.069595739,0.691967454,8.774393051,0.064723644,9.260316252,0.035240233
20.77872692,0.133677898,0.935224102,0.115632017,0.819592085,21.25769932,0.07317936,0.499540382,0.063044704,0.436495678,10.81130677,1.665372316,11.21575342,0.815187794
